t,s_mm_fore,s_mm_hind,beta_deg_fore,beta_deg_hind,alpha_deg_fore,alpha_deg_hind,d_mm_fore,d_mm_hind
2.62,-18.79663558776214,-17.48312716147712,87.335797637073,81.8232074849702,74.75127406082957,99.51072104499815,-0.6519142490699306,-0.5938025580547684
2.64,-19.646830346393205,-17.835879316580293,86.22330290543034,80.57931776969556,77.14232082580736,90.63037857884095,-0.3193243648574304,-0.6577564870412822
2.66,-20.04805093624677,-18.2113973106076,81.24781219090475,75.46730096823723,80.6952863012373,76.55688651129364,-0.04601341381940506,-0.6752751747142425
2.68,-20.030146264833917,-18.235296056822037,71.52761152005834,70.81346795354588,79.59557469161065,41.11600867883819,0.03577154507865445,-0.6856065650886436
2.7,-19.70405454009493,-17.712404255427273,59.03547417004043,65.45029799198883,73.08418529786405,-2.2535247944269234,-0.07501871545880057,-0.449922947566122
2.72,-19.10016732443695,-17.188835570723036,46.38502382524068,62.08106456613518,50.02465658781242,-23.409126527494283,-0.30976335262451327,0.014137610003012478
2.74,-18.255613431096595,-16.083626097043652,34.17918787831986,60.07064036419525,23.47379861261243,-28.063303362792613,-0.4947569152406124,0.7095963605763722
2.7600000000000002,-17.335436222651854,-14.783443364767011,26.36245708346127,56.0468547288222,4.443181887343468,-29.82322544703903,-0.5621840086623093,1.348139836151795
2.7800000000000002,-16.112646570820583,-12.848295642090353,23.370727103906386,50.7610379851716,-8.291968152761362,-31.67701301131191,-0.510571609313435,1.7800427720070224
2.8000000000000003,-14.535596590594867,-10.880514744045625,22.110438951059876,44.05378156626352,-16.939831053867593,-33.602397855615614,-0.447034160452781,1.7880692767827244
2.82,-12.641435462338345,-8.931655971193354,21.849471016645822,36.24160870702771,-23.31269797488773,-35.02863111363926,-0.37703241625160605,1.7659823090170892
2.84,-10.677648104732882,-6.798242132929829,22.797185282973288,31.142916848559363,-25.306029196734517,-35.574535870070264,-0.24848462283659672,1.4666083353569181
2.86,-8.586882789013066,-4.447736261888035,24.032405762168853,27.983959009599527,-26.2747698921911,-35.863030196409134,-0.14155163942239324,1.1768363228206378
2.88,-6.299701921787736,-1.7629746497714744,25.363148641570316,24.56849457512938,-24.550477240164174,-33.74927762319717,-0.09694167756790896,0.7645192702751313
2.9,-3.7078785211588516,0.9719618486131423,24.87719407602964,23.489210475446164,-23.56460605115775,-31.635525049985212,-0.08124192668063825,0.47651707205022475
2.92,-1.1472917686329112,3.5735323663272083,23.65305915452222,22.70544773644322,-23.845873646878424,-29.76518895732791,-0.04531928949802439,0.2871652205111904
2.94,1.3253204123925706,6.654758011224826,24.151778119901508,22.4147810818196,-24.854027374886478,-27.924529020282534,0.015941166796676,0.4400753272412431
2.96,3.896216647714317,9.515817380697564,24.239328931217408,22.809299280759284,-26.712839311823366,-26.590434555139243,0.07629754949782874,0.5851905005321405
2.98,6.50181947726864,11.991351597785203,25.34810406152211,23.105904133548705,-27.306225513388227,-25.40676855698558,0.08616276101476461,0.8355338375996275
3.0,9.103640731738318,14.657486725989031,24.833677285900013,23.670288883510413,-26.878209606856732,-25.94951889061691,0.1075713463633521,1.0249125678785491
3.02,11.404860742479405,17.21791130891465,26.389152736439822,26.39030474067844,-26.06313344594457,-29.54527178636976,0.2778079422157044,1.4905321980733761
3.04,13.848867439560559,19.272160823223082,27.971123872662105,27.563903930201047,-25.03589527026895,-33.141024682122605,0.4557982606358932,1.6718368761865123
3.06,16.157220243264636,21.05316379890458,27.122701121448568,31.39166587669925,-26.817420997976175,-40.20215345701348,0.523555729277621,1.9464144066209046
3.08,18.138550919619043,22.60808597454429,27.560280035422522,37.05236332049115,-29.593409877480607,-22.48833129107678,0.5913130981313958,2.24132460222917
3.1,19.83800152738064,23.023872772626778,27.91733731360394,43.52580431825279,-35.32449444561752,11.442376011970849,0.6256577962454306,2.446704135370615
3.12,21.358307911853405,23.34887523757312,28.92106738809766,53.89737679728806,-41.745376890952265,45.37308331501848,0.5529847712055898,2.6371701483561028
3.14,22.265537459950536,23.126744126879597,31.26453689647232,66.45051724144483,-41.43907247860804,79.3037906180661,0.46353751412145094,2.629799034814913
3.16,22.97445409672136,22.269116164386457,33.78574817597348,79.0172593172734,-10.518173932193864,113.23449792111373,0.3313804782345261,2.0430394081800203
3.18,23.138671246779314,21.07168660014629,38.437485123158346,93.3224067816821,20.402724614220315,146.87974623838497,0.12177189430991764,1.056441355761318
3.2,22.888900270761255,19.092349124525704,43.7554192467707,112.69798572734712,51.32362316063449,79.7394423219045,-0.18693964827324996,0.5582163882641974
3.22,22.091011066618783,17.187013708603683,49.88398876601184,127.18446847662675,82.24452170704868,52.045494568503116,-0.6009030011752332,0.32527580627453034
3.24,20.750852683400634,15.231776962810889,58.75050864276751,128.14241565027456,113.16542025346286,42.7157942066728,-1.0003440153796388,0.22837151659652621
3.2600000000000002,18.995043902296946,13.301642177627174,71.28666190474448,127.14058728105363,142.94550425257898,42.27259401820662,-1.2771889057756254,0.2944122798665736
3.2800000000000002,17.203506406404447,11.15258059694955,84.18601026841718,122.5172390783763,100.64663611111754,44.69340062192264,-1.365571113354892,0.5433494950907828
3.3000000000000003,15.471436272074428,8.822543741731572,94.07736701427227,121.04186478608767,70.38533230258358,50.572877659936346,-1.219355486568839,0.8604318422635732
3.3200000000000003,13.735931995810805,6.590606042108759,98.8484427060519,117.77484782704356,58.21576517617172,55.568250508634605,-0.7449445963465524,1.2588757047175962
3.34,11.863186369976628,4.601465103130883,99.53489654018895,116.62457314740895,53.10892395995559,59.8466123369163,0.0035522944803997683,1.194394940821519
3.36,9.958456166525961,2.625867848874387,99.50496958155622,116.6549547276902,57.39535281354699,63.333895554118556,0.7909419842277123,1.0207951497113201
3.38,7.946183905236218,0.6301362627825827,99.35312473216767,116.15330336364747,62.47177749926472,65.93258192264062,1.4625494760655962,0.6953210638269852
3.4,5.808776302097661,-1.1724442352677227,101.0226153682813,113.58669378517813,69.32375894499623,68.23407281963713,1.955220937770529,0.3285949605041141
3.42,3.578575665477322,-3.0497531009593506,102.38495601816902,110.27571060656857,75.65435445262055,69.62889726995986,2.218874284774437,0.022648006039046674
3.44,1.6485717656435896,-4.788540692926176,100.98655284164612,107.20406126757426,81.13295805622406,69.09732896696306,2.107072245975724,0.050290254259064436
3.46,-0.4123077686634921,-6.621837279587241,100.62301297772409,104.04858465289604,86.97280365465132,68.41946666218254,1.7874704190706403,0.3100778914638833
3.48,-2.593110922861231,-8.165655027425638,98.72550181551905,100.69530508420794,93.21639200106226,67.26215976512157,1.4265317110934859,0.36241223114402155
3.5,-4.6281850301077165,-9.600806315626784,96.15363910241842,98.95211421262651,98.56770797672375,66.10485286806058,0.9049764830676195,0.5122722950075391
3.52,-6.6236079658234415,-11.070288097912082,95.47164646393907,95.61719627307345,103.38231492237901,70.29802400887732,0.23366753670703122,0.621535691884889
3.54,-8.476754670586471,-12.58560823652163,93.69313290150974,96.13779189784132,102.69143222902254,76.6433305032786,-0.39651605893059866,0.7101148526352812
3.56,-9.903966164302409,-13.991755525628422,90.77549455787789,95.71639597049288,100.41683341145496,87.05267735012539,-0.9524974845847525,0.731516904385367
3.58,-11.233244711381266,-15.038870679087154,87.1058076070199,93.16970129739458,93.73927927085703,94.7338728126034,-1.3362064131195397,0.45917705800168274
3.6,-12.76617192824855,-15.783588624667457,85.49684954749695,87.11500782036397,86.62029994654404,97.68729129610982,-1.2921247904620379,0.24618002941978165
3.62,-14.386403836230468,-16.515545177361417,85.83588556656002,83.96393769594889,82.01193711943114,95.91158413733812,-1.0063508455163,-0.1404874755675929
3.64,-15.602511288841095,-17.054698201006858,83.28285566087123,80.93998273515484,78.83229131338909,88.74946052073051,-0.6789636813852312,-0.121661797126125
3.66,-16.33911123908912,-17.594500308440118,79.19748280237528,79.04425470394554,79.10377001366705,78.14318759672207,-0.3736736597779975,-0.05501485630682087
3.68,-16.98141973972247,-17.55419081917136,77.14083256021365,75.39158847867158,79.35758046852044,64.96712681267722,-0.004159601070083983,-0.029237078869214558
3.7,-17.830956252628482,-17.32929276933159,73.1512227350266,67.00509264586582,79.57325047144109,33.125619074573116,0.4096731888575336,0.14857509421974882
3.72,-18.169150213313248,-16.99868802614663,67.23871372759314,60.94255804191254,77.79104124261231,-3.0354847648676397,0.6705708495302319,0.33894064143934355
3.74,-17.894997765825803,-16.0680139214454,55.29904047240973,57.00619453721363,73.82657918440027,-22.325172030668064,0.5493442354210656,0.7608231559608327
3.7600000000000002,-17.282170980722594,-15.08826139960281,41.012433624412715,52.30460912203126,58.68547231401531,-28.360142210271597,0.22483008851228492,1.1512267822841793
3.7800000000000002,-16.632119930916677,-13.6308948930355,29.26088828319186,50.51977699483644,28.252377675153173,-28.516673741803167,0.013444277618226533,1.5267711199639533
3.8000000000000003,-15.693834960891186,-11.932960347456124,19.28927351300794,45.890933897458865,0.01530460315987682,-28.749009480683437,-0.03319173501447473,2.036641888725207
3.8200000000000003,-14.320842086684607,-9.752802917091142,17.12829676152359,38.830578222311345,-12.158799430722228,-29.312522994196975,-0.048101618412202014,2.107426128338241
3.84,-12.67931707806631,-7.64111041310736,17.69084294923213,30.06427206263371,-20.229242761248116,-29.876036507710502,-0.07119387781525122,2.0914096549743655
3.86,-10.711687871462297,-5.452685470576316,18.49477562613207,22.902745684909497,-22.797338200437224,-30.02767574931482,-0.1632255002898225,1.6479207658209538
3.88,-8.34800847277056,-2.814822656755925,19.226071303039493,18.241417704771546,-24.815692656005364,-30.077623132595498,-0.28824604291899303,1.1347270706104888
3.9,-6.079934361296543,0.011859762303142483,19.650250240897254,13.887134625793118,-23.250377340690076,-29.374871918500443,-0.346812973900972,0.5874400001877473
3.92,-3.4606391058810226,2.604206974821199,19.242264316085933,12.958353988361988,-21.668510071752312,-27.8479090582043,-0.405330151920036,0.12043984128185953
3.94,-0.671288299808161,5.832884131140932,17.877912260192474,14.201278689167147,-20.029820601031588,-26.294567738814276,-0.4368206277491766,-0.15995276627523486
3.96,2.1737527395723557,8.748355199018976,18.187981821501204,15.089270225220062,-18.76076333000071,-24.59481393095247,-0.35522197838598235,-0.12916544074969472
3.98,5.2991534871273105,11.26150954880575,18.02895104784275,17.091119497107712,-18.283831319865566,-22.89506012309066,-0.2909925927003265,0.2741309861427558
4.0,8.317854193956503,14.177641494138449,16.484653623661394,17.470481517701792,-17.847083882392127,-24.601463461328656,-0.3436690681327229,0.555277948499567
